,data,tfidf_value,row_no,sentence_offset,no_of_sentence,info_about_sentence
211,"'Prod SUGA' is officially coming soon! For the past few months, BTS had been releasing various content teasing the release of their upcoming game, titled BTS Island:",1.7689831000146472,469,0,10,First Sentence
212,"A few days after BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook said they were taking a break, The Korea Singers Association president Lee Ja Yeon on Wednesday requested the group to 'reconsider the decision to go on a group hiatus'",1.7691252549691072,689,0,10,First Sentence
213,"BTS leader RM will mark his solo debut with his first full-length album Indigo, releasing on December 2",1.7694804424441197,472,0,8,First Sentence
214,"This year included several firsts for BTS, making them big moments for the group",1.7697904628011534,89,0,40,First Sentence
215,The Korean boy band BTS has a huge fan following all over the world and there are many fans in India as well including many celebs,1.7698810474690008,209,0,14,First Sentence
216,"Run BTS is South Korean boy group BTS variety show where they engage in various fun activities that bring out their real sides and give the fans aka the BTS ARMY to watch how these seven boys are just normal people, albeit with fabulous talent While it is one of the most watched K-pop variety shows, which has gone on for years now, BTS announced in October 2021 that it will be taking a break Earlier in the year, Run BTS made a return with a special episode edition which has now continued",1.770086188429853,597,0,8,First Sentence
217,"Stray Kids is back with new music! On December 21, 2022 the group released their digital album SKZ-REPLAY along with the music video for their lead song FAM",1.7701332300654717,455,0,11,First Sentence
218,BTS leader Kim Namjoon has turned 28 (International Age) today,1.770334367896305,212,0,19,First Sentence
219,"On December 26, 2022, a making-of video for Jungkook's song 'Dreamers,' which was released for the 2022 FIFA World Cup, was uploaded",1.770738664670729,395,0,47,First Sentence
220,"Last evening as per KST, BTS members V, Jungkook, J-Hope and Jin had come live on VLive App",1.770854165239918,647,0,22,First Sentence
221,"BTS is continuing to release their solo projects following their anthology album Proof in June Member J-Hope has since gone solo with the drop of his first LP, Jack In The Box Eldest member Jin has announced his single, a collaboration with Coldplay which the group has previously worked on for My Universe as The Astronaut eyes a release on October 28",1.7714202741501799,494,0,9,First Sentence
222,Stray Kids on Billboard 200 and Artist 100:,1.7716274784135242,539,0,9,First Sentence
223,The BTS Vlog series came to an end with the one by SUGA aka Min Yoongi,1.7717735014283749,104,0,17,First Sentence
224,Korean boy band BTS is currently at the top of its game,1.7722645823905199,665,0,10,First Sentence
225,"Jin, also known as Kim Seokjin, became the first BTS member to join the mandatory military service in South Korea",1.772300876683974,528,0,7,First Sentence
226,BTS is a global phenomenon and fans are waiting for them to announce tour dates for their world tour,1.7726355582925166,790,0,21,First Sentence
227,"Fans of BTS member Jimin got angry after the singer was not given due credit on Spotify for his recent song Vibe in collaboration with Big Bang member Taeyang Taking to Twitter, fans shared posts asking Blacklabel to credit Jimin as the new song on the music streaming platform comes under Taeyangs name only On the platform, the song says Vibe (feat Jimin of BTS) but does not appear under his name BTS ARMY also started trending '#BlacklabelCreditJimin' (Also Read | Jimin shares note for BTS ARMY, reveals he was not able to sleep much ahead of Vibe's release)Taking to Twitter, a BTS ARMY wrote, Jimin is not credited with Vibe?",1.7726911512194963,772,0,15,First Sentence
228,"BTS members RM, Jin, V, and Jungkook featured in a new Bangtan Bomb video from last year when they performed at The Late Show with Stephen Colbert",1.7729876018676929,347,0,30,First Sentence
229,BTS members are creating havoc J-Hope aka Jung Hoseok's MV Arson is making waves on YouTube,1.7733140783486039,505,0,18,First Sentence
230,"BTS ARMY immediately flooded social media to react to the picture, which soon went viral",1.7733372360161719,180,0,12,First Sentence
231,Korean boy band BTS has everyone is heart,1.7736223151817785,53,0,17,First Sentence
232,"BTS members RM, Jin, Suga, J-Hope, Jimin, V, and Jungkook on Thursday returned to stage and performed live in front of ARMY in Seoul for the first time since 2019 The show is the first of three concerts, titled Permission to Dance on Stage Seoul, for the group at the Olympic Stadium",1.773736960909203,722,0,24,First Sentence
233,BTS ARMY has one more good news to celebrate,1.773886351960964,654,0,17,First Sentence
234,"On August 28, 2022, BLACKPINK, the popular K-pop girl band, performed for the first time at the MTV Video Music Awards show in New Jersey",1.7739169056641664,533,0,14,First Sentence
235,"Boy group Stray Kids has announced the release of new music Dropping the news during their 2nd fan meeting, Stray Kids 2ND #LoveStay",1.773944207519778,422,0,6,First Sentence
236,BTS member Kim Taehyung was in the news from May to September for his alleged dating rumours with Blackpink rapper Jennie Kim,1.7741241118729938,627,0,19,First Sentence
237,BTS member and eldest hyung Kim Seokjin aka Jin was the guest for the finale at Youngji's show,1.7741469638758807,153,0,14,First Sentence
238,"Jin said that about a year or year and a half ago', three or four of the BTS members would game together",1.7741974741443975,143,0,16,First Sentence
239,"BTS member Jungkook has tested positive for Covid-19 after he reached Las Vegas, the group's agency Big Hit Music informed ARMY on Tuesday Taking to the fan community forum",1.7742906514347403,564,0,14,First Sentence
